Year,Location,MinTemp,MaxTemp,Rainfall,Humidity,Pressure,WindSpeed
2014,Bairnsdale East,18.5,38.3,0,18,1010.9,20
2014,Bairnsdale East,26,44.3,0,9,1005.1,17
2014,Bairnsdale East,26.7,41,0,23,998.4,17
2014,Bairnsdale East,17.6,28.9,0,35,1008.7,22
2014,Bairnsdale East,16.6,33,0,24,1009.6,15
2014,Bairnsdale East,17.9,27.6,0,33,1013.9,19
2014,Bairnsdale East,14.3,29.2,0,29,1017,20
2014,Bairnsdale East,17.6,34.4,0,46,1014.1,28
2014,Bairnsdale East,22.1,24.8,0,55,1016.3,28
2014,Bairnsdale East,17.2,32.8,3.8,57,1016.7,19
2014,Bairnsdale East,19.1,35.4,0,53,1018.1,19
2014,Bairnsdale East,22.5,38.6,0,28,1015.5,7
2014,Bairnsdale East,25.7,40.4,0,27,1014.5,28
2014,Bairnsdale East,25.7,39.6,0,24,1016.5,22
2014,Bairnsdale East,25.6,39.2,0,24,1018.1,26
2014,Bairnsdale East,25.8,40,0,20,1016.4,17
2014,Bairnsdale East,25.3,40.8,0,15,1012,17
2014,Bairnsdale East,27.6,41.9,0,21,1009.4,13
2014,Bairnsdale East,24.2,41.6,0.4,18,1006.2,9
2014,Bairnsdale East,25.2,38.2,0,15,1005.8,17
2014,Bairnsdale East,21.5,37.9,0,19,1007.4,11
2014,Bairnsdale East,20.5,34.7,0,25,1012.8,15
2014,Bairnsdale East,21.8,34,0,48,1014.7,24
2014,Bairnsdale East,22.9,29.9,0,55,1010.6,24
2014,Bairnsdale East,16.7,32.4,0.8,74,1013.4,11
2014,Bairnsdale East,17.2,34.6,0,45,1016.6,22
2014,Bairnsdale East,20.7,35.8,0,41,1018.2,30
2014,Bairnsdale East,22.3,36.6,0,36,1016.6,24
2014,Bairnsdale East,22.6,38.5,0,34,1015.1,22
2014,Bairnsdale East,23.1,38.3,0,32,1013.8,28
2014,Bairnsdale East,23.2,39,0,30,1012.1,20
2014,Bairnsdale East,23.6,39.8,0,33,1010.2,20
2014,Bairnsdale East,25.7,40.3,0,24,1010.6,20
2014,Bairnsdale East,24.7,39.5,0,20,1009.9,19
2014,Bairnsdale East,25.6,39.1,0,29,1010.4,15
2014,Bairnsdale East,21.2,32.3,0,49,1015.6,28
2014,Bairnsdale East,19.8,35.7,0,38,1014.8,22
2014,Bairnsdale East,22.1,38.3,0,23,1012.7,17
2014,Bairnsdale East,23.5,39.8,0,20,1013.8,17
2014,Bairnsdale East,23.6,40.3,0,26,1014.9,24
2014,Bairnsdale East,25.3,42,0,29,1012.9,9
2014,Bairnsdale East,26.2,41.4,0,21,1011,17
2014,Bairnsdale East,25.1,43.2,0,21,1010.3,7
2014,Bairnsdale East,25.1,41.2,0,38,1007.6,19
2014,Bairnsdale East,24.3,36.6,1.4,55,1004,7
2014,Bairnsdale East,26.6,35.4,0,40,996.8,9
2014,Bairnsdale East,21.4,28.6,68,97,1002.6,13
2014,Bairnsdale East,15.8,30.7,2.6,57,1009.8,13
2014,Bairnsdale East,19.9,33.5,0,64,1008.4,15
2014,Bairnsdale East,23,34.1,0,73,1002.1,20
2014,Bairnsdale East,14.3,25.1,0,48,1011.5,20
2014,Bairnsdale East,12.9,26,0,31,1017.9,15
2014,Bairnsdale East,13.2,30.7,0,39,1017.9,17
2014,Bairnsdale East,18.4,32,0,52,1017.2,30
2014,Bairnsdale East,20.3,33.2,0,48,1016.7,19
2014,Bairnsdale East,20.9,35.2,0,37,1013.1,19
2014,Bairnsdale East,24.2,35.3,0,38,1009.8,9
2014,Bairnsdale East,21.6,32.6,0.8,45,1014.1,13
2014,Bairnsdale East,19.2,21.9,1,91,1016.3,13
2014,Bairnsdale East,17.5,23.9,28.8,97,1014.5,9
2014,Bairnsdale East,18.2,26.4,4.6,87,1015.6,13
2014,Bairnsdale East,18.8,24.9,0,73,1019.1,20
2014,Bairnsdale East,20.6,24.8,0.8,76,1021.2,17
2014,Bairnsdale East,19.2,29.6,10,80,1017.2,9
2014,Bairnsdale East,19.8,31.6,0,66,1015.9,9
2014,Bairnsdale East,16.5,31.1,0,72,1018.2,11
2014,Bairnsdale East,17.3,31.4,0,69,1018.3,9
2014,Bairnsdale East,19.5,31.5,0,58,1018.7,20
2014,Bairnsdale East,19.9,31.5,0,55,1019.5,19
2014,Bairnsdale East,20.2,31.8,0,51,1019.8,22
2014,Bairnsdale East,18.9,32.2,0,49,1017.5,11
2014,Bairnsdale East,18.5,32.2,0,42,1016.6,11
2014,Bairnsdale East,16.6,32.1,0,46,1014.6,7
2014,Bairnsdale East,19.6,29,0,58,1010.8,17
2014,Bairnsdale East,18.4,25.7,0,53,1010,19
