id,name,parent,size
1,Animals,,
2,Actinopteri,1,
3,Acipenseriformes,2,
4,Polyodontidae,3,
5,polyodon,4,
6,Polyodon_spathula,5,8
7,Syngnathiformes,2,
8,Syngnathidae,7,
9,Hippocampus,8,
10,Hippocampus_abdominalis,9,7
11,Hippocampus_algiricus,9,1
12,Hippocampus_barbouri,9,7
13,Hippocampus_breviceps,9,1
14,Hippocampus_comes,9,8
15,Hippocampus_erectus,9,5
16,Hippocampus_histrix,9,2
17,Hippocampus_kelloggi,9,3
18,Hippocampus_kuda,9,27
19,Hippocampus_reidi,9,13
20,Hippocampus_semispinosus,9,4
21,Hippocampus_spinosissimus,9,4
22,Hippocampus_spp.,9,3
23,Hippocampus_subelongatus,9,3
24,Hippocampus_trimaculatus,9,2
25,Hippocampus_whitei,9,2
26,Hippocampus_zosterae,9,1
27,Amphibia,1,
28,Anura,27,
29,Calyptocephalellidae,28,
30,Calyptocephalella,29,
31,Calyptocephalella_gayi,30,1
32,Mantellidae,28,
33,Mantella,32,
34,Mantella_aurantiaca,33,12
35,Mantella_baroni,33,6
36,Mantella_betsileo,33,11
37,Mantella_cowanii,33,1
38,Mantella_crocea,33,2
39,Mantella_laevigata,33,4
40,Mantella_madagascariensis,33,8
41,Mantella_manery,33,1
42,Mantella_milotympanum,33,2
43,Mantella_nigricans,33,9
44,Mantella_pulchra,33,1
45,Mantella_spp.,33,2
46,Mantella_viridis,33,1
47,Anthozoa,1,
48,Antipatharia,47,
49,Myriopathidae,48,
50,Cupressopathes,49,
51,Cupressopathes_spp.,50,1
52,Tanacetipathes,49,
53,Tanacetipathes_barbadensis,52,1
54,Tanacetipathes_hirta,52,1
55,Tanacetipathes_tanacetum,52,1
56,Tanacetipathes_thamnea,52,1
57,Schizopathidae,48,
58,Parantipathes,57,
59,Parantipathes_spp.,58,1
60,Gorgonacea,47,
61,Coralliidae,60,
62,Corallium,61,
63,Corallium_elatius,62,51
64,Corallium_japonicum,62,13
65,Corallium_konjoi,62,8
66,Corallium_secundum,62,24
67,Scleractinia,47,
68,Meandriniidae,67,
69,Dendrogyra,68,
70,Dendrogyra_cylindrus,69,1
71,Dichocoenia,68,
72,Dichocoenia_stokesii,71,1
73,Meandrina,68,
74,Meandrina_maeandrites,73,2
75,Merulinidae,67,
76,Hydnophora,75,
77,Hydnophora_bonsai,76,1
78,Hydnophora_exesa,76,58
79,Hydnophora_microconos,76,40
80,Hydnophora_rigida,76,29
81,Hydnophora_spp.,76,68
82,Merulina,75,
83,Merulina_ampliata,82,107
84,Merulina_scabricula,82,5
85,Merulina_spp.,82,2
86,Mussidae,67,
87,Acanthastrea,86,
88,Acanthastrea_amakusensis,87,7
89,Acanthastrea_bowerbanki,87,14
90,Acanthastrea_echinata,87,8
91,Acanthastrea_hemprichii,87,2
92,Acanthastrea_hillae,87,9
93,Acanthastrea_lordhowensis,87,22
94,Acanthastrea_maxima,87,4
95,Acanthastrea_rotundoflora,87,1
96,Acanthastrea_spp.,87,124
97,Acanthophyllia,86,
98,Acanthophyllia_deshayesiana,97,44
99,Acanthophyllia_spp.,97,1
100,Australomussa,86,
101,Australomussa_rowleyensis,100,32
102,Australomussa_spp.,100,1
103,Blastomussa,86,
104,Blastomussa_merleti,103,30
105,Blastomussa_spp.,103,12
106,Blastomussa_wellsi,103,98
107,Cynarina,86,
108,Cynarina_lacrymalis,107,69
109,Cynarina_spp.,107,4
110,Lobophyllia,86,
111,Lobophyllia_corymbosa,110,55
112,Lobophyllia_diminuta,110,1
113,Lobophyllia_hataii,110,1
114,Lobophyllia_hemprichii,110,18
115,Lobophyllia_robusta,110,3
116,Lobophyllia_spp.,110,167
117,Micromussa,86,
118,Micromussa_spp.,117,2
119,Mussismilia,86,
120,Mussismilia_braziliensis,119,1
121,Mycetophyllia,86,
122,Mycetophyllia_aliciae,121,2
123,Scolymia,86,
