Countries,Type,Amount 
China,Balance2020,-15158184
China,Balance2019,-10456327
China,Balance2018,-7436089
China,Balance2017,-3762257
World,Balance2020,-3479041
"Hong Kong, China",Balance2020,-3157707
"Hong Kong, China",Balance2018,-2787195
"Macao, China",Balance2020,-2314816
China,Balance2016,-2311931
"Hong Kong, China",Balance2017,-2180906
"Hong Kong, China",Balance2016,-2072514
"Hong Kong, China",Balance2019,-1910868
Russian Federation,Balance2019,-1046200
Russian Federation,Balance2018,-1017374
Russian Federation,Balance2017,-919885
"Macao, China",Balance2019,-826934
Russian Federation,Balance2016,-783428
Russian Federation,Balance2020,-761539
Saudi Arabia,Balance2019,-671428
United Arab Emirates,Balance2016,-618347
Saudi Arabia,Balance2016,-597153
Saudi Arabia,Balance2020,-594463
Saudi Arabia,Balance2018,-573683
"Macao, China",Balance2018,-562730
Saudi Arabia,Balance2017,-544542
United Arab Emirates,Balance2017,-527388
Taiwan,Balance2019,-466635
Canada,Balance2017,-456984
Taiwan,Balance2020,-439556
Thailand,Balance2017,-433266
Australia,Balance2018,-431742
Taiwan,Balance2016,-431169
Thailand,Balance2018,-412637
Taiwan,Balance2018,-410962
United Kingdom,Balance2017,-408891
United Kingdom,Balance2016,-393400
Australia,Balance2016,-383812
Thailand,Balance2016,-381572
United Arab Emirates,Balance2020,-378208
Canada,Balance2018,-375889
Canada,Balance2019,-373509
Australia,Balance2019,-372547
"Macao, China",Balance2016,-354186
Taiwan,Balance2017,-350280
Australia,Balance2017,-344005
Canada,Balance2020,-342795
Canada,Balance2016,-342015
Malaysia,Balance2019,-330923
Malaysia,Balance2018,-306389
Norway,Balance2018,-305377
Mexico,Balance2018,-300920
Mexico,Balance2017,-290394
Malaysia,Balance2017,-289770
Mexico,Balance2019,-284805
Norway,Balance2017,-283068
United Kingdom,Balance2018,-275635
Australia,Balance2020,-275268
Austria,Balance2018,-268067
Norway,Balance2020,-265803
Austria,Balance2016,-263348
Austria,Balance2017,-261522
Norway,Balance2019,-257558
Norway,Balance2016,-257496
Kuwait,Balance2019,-255132
Kuwait,Balance2018,-252362
Portugal,Balance2019,-240197
Portugal,Balance2018,-236807
Indonesia,Balance2019,-235350
Austria,Balance2019,-233897
Malaysia,Balance2020,-229413
Portugal,Balance2017,-211830
Kuwait,Balance2017,-209704
Ireland,Balance2018,-207876
Mexico,Balance2016,-207475
Indonesia,Balance2018,-206336
Austria,Balance2020,-204718
Sweden,Balance2019,-202498
Sweden,Balance2017,-201348
Kuwait,Balance2016,-199796
Portugal,Balance2016,-199291
Sweden,Balance2018,-190921
Ireland,Balance2019,-190094
Romania,Balance2020,-189259
Malaysia,Balance2016,-186948
Ukraine,Balance2019,-186065
Ireland,Balance2017,-182555
Portugal,Balance2020,-179796
Ukraine,Balance2020,-172682
Romania,Balance2019,-171864
Romania,Balance2018,-170039
Sweden,Balance2016,-169986
Sweden,Balance2020,-164418
Chile,Balance2019,-164030
Qatar,Balance2018,-163696
Ireland,Balance2016,-161695
Qatar,Balance2017,-159227
Chile,Balance2018,-157432
Ireland,Balance2020,-156082
Qatar,Balance2019,-156062
Ukraine,Balance2018,-155971
Mexico,Balance2020,-154148
Philippines,Balance2019,-151622
Netherlands,Balance2016,-148458
Indonesia,Balance2020,-147262
Spain,Balance2016,-144771
Chile,Balance2020,-144608
Chile,Balance2017,-144004
Romania,Balance2017,-143926
Thailand,Balance2019,-140816
World,Balance2016,-136103
Belgium,Balance2019,-133309
New Zealand,Balance2019,-130980
New Zealand,Balance2020,-128531
Ukraine,Balance2017,-126906
Chile,Balance2016,-126036
Turkey,Balance2017,-125444
United Kingdom,Balance2019,-123275
Ukraine,Balance2016,-120394
Iran,Balance2017,-120307
Philippines,Balance2018,-120237
Qatar,Balance2020,-116880
Slovakia,Balance2018,-116688
Turkey,Balance2018,-116518
Romania,Balance2016,-115886
Slovakia,Balance2020,-114313
Iraq,Balance2019,-113756
Brazil,Balance2019,-113698
Oman,Balance2019,-113419
Kazakhstan,Balance2019,-113123
Kazakhstan,Balance2020,-110052
Czech Republic,Balance2018,-109535
Spain,Balance2017,-109223
Turkey,Balance2016,-107666
Slovakia,Balance2019,-107552
Philippines,Balance2020,-106338
Peru,Balance2019,-105953
Kuwait,Balance2020,-104426
Finland,Balance2018,-103976
Finland,Balance2020,-101250
New Zealand,Balance2018,-100925
Turkey,Balance2019,-99120
Brazil,Balance2018,-98875
Ecuador,Balance2019,-98263
Finland,Balance2019,-98198
Indonesia,Balance2017,-97545
Kazakhstan,Balance2018,-97247
Ecuador,Balance2018,-93713
Slovakia,Balance2017,-93274
Finland,Balance2017,-91013
Denmark,Balance2019,-90058
Kazakhstan,Balance2017,-88520
Iraq,Balance2018,-87365
Ecuador,Balance2017,-86349
Slovakia,Balance2016,-86197
Philippines,Balance2017,-86121
Brazil,Balance2017,-85590
Iran,Balance2016,-84800
Brazil,Balance2020,-84526
Algeria,Balance2019,-83711
Denmark,Balance2017,-82997
Viet Nam,Balance2020,-82855
Czech Republic,Balance2017,-81816
Peru,Balance2018,-81758
Denmark,Balance2018,-80901
Peru,Balance2020,-80300
Panama,Balance2019,-80188
Iran,Balance2018,-79945
Finland,Balance2016,-78968
Viet Nam,Balance2019,-78524
New Zealand,Balance2017,-77548
Peru,Balance2017,-76104
Iraq,Balance2017,-76011
Belgium,Balance2018,-72293
Denmark,Balance2016,-71895
Panama,Balance2020,-71503
Iraq,Balance2020,-70659
Argentina,Balance2018,-69952
Oman,Balance2018,-69946
Viet Nam,Balance2018,-69490
Morocco,Balance2020,-68669
Ecuador,Balance2020,-68264
Argentina,Balance2017,-67335
Ecuador,Balance2016,-66969
Kazakhstan,Balance2016,-66945
