Date,Country,Confirmed,Recovered,Deaths,Continent,Active
10/13/2020,Afghanistan,39928,33308,1480,Asia,5140
10/13/2020,Albania,15752,9675,429,Europe,5648
10/13/2020,Algeria,53399,37492,1818,Africa,14089
10/13/2020,Andorra,2995,1928,57,Europe,1010
10/13/2020,Angola,6680,2761,222,Africa,3697
10/13/2020,Antigua and Barbuda,111,97,3,North America,11
10/13/2020,Argentina,917035,742235,24572,South America,150228
10/13/2020,Armenia,57566,46318,1032,Europe,10216
10/13/2020,Australia,27337,25046,904,Oceania,1387
10/13/2020,Austria,57326,44949,861,Europe,11516
10/13/2020,Azerbaijan,42381,39468,612,Europe,2301
10/13/2020,Bahamas,5163,2978,108,North America,2077
10/13/2020,Bahrain,76272,72164,285,Asia,3823
10/13/2020,Bangladesh,381275,295873,5577,Asia,79825
10/13/2020,Barbados,210,187,7,North America,16
10/13/2020,Belarus,84524,77797,906,Europe,5821
10/13/2020,Belgium,173240,20452,10244,Europe,142544
10/13/2020,Belize,2585,1580,39,North America,966
10/13/2020,Benin,2411,1973,41,Africa,397
10/13/2020,Bhutan,313,293,0,Asia,20
10/13/2020,Bolivia,138922,102083,8351,South America,28488
10/13/2020,Bosnia and Herzegovina,31173,23777,947,Europe,6449
10/13/2020,Botswana,3515,853,20,Africa,2642
10/13/2020,Brazil,5113628,4526393,150998,South America,436237
10/13/2020,Brunei,146,143,3,Asia,0
10/13/2020,Bulgaria,25774,16139,923,Europe,8712
10/13/2020,Burundi,529,472,1,Africa,56
10/13/2020,Cambodia,283,278,0,Asia,5
10/13/2020,Cameroon,21203,20117,423,Africa,663
10/13/2020,Canada,189489,160223,9707,North America,19559
10/13/2020,Central African Republic,4854,1924,62,Africa,2868
10/13/2020,Chad,1321,1120,92,Africa,109
10/13/2020,Chile,484280,456499,13396,South America,14385
10/13/2020,China,90858,85707,4739,Asia,412
10/13/2020,Colombia,924098,806703,28141,South America,89254
10/13/2020,Comoros,496,484,7,Africa,5
10/13/2020,Costa Rica,90238,53670,1124,North America,35444
10/13/2020,Croatia,20993,17889,330,Europe,2774
10/13/2020,Cuba,6017,5602,123,North America,292
10/13/2020,Cyprus,2130,1444,25,Europe,661
10/13/2020,Denmark,33594,27704,674,Europe,5216
10/13/2020,Djibouti,5428,5362,61,Africa,5
10/13/2020,Dominica,32,24,0,North America,8
10/13/2020,Dominican Republic,119008,94941,2183,North America,21884
10/13/2020,Ecuador,148171,128134,12235,South America,7802
10/13/2020,Egypt,104787,97841,6071,Africa,875
10/13/2020,El Salvador,30480,25857,899,North America,3724
10/13/2020,Equatorial Guinea,5066,4954,83,Africa,29
10/13/2020,Eritrea,414,372,0,Africa,42
10/13/2020,Estonia,3908,3015,68,Europe,825
