locality,year,price
ABBOTSFORD,2010,736000
ABERFELDIE,2010,1046500
AINTREE,2010,
AIREYS INLET,2010,606000
AIRPORT WEST,2010,575000
ALBANVALE,2010,320000
ALBERT PARK,2010,1167500
ALBION,2010,440000
ALEXANDRA,2010,230000
ALFREDTON,2010,316000
ALLANSFORD,2010,250500
ALPHINGTON,2010,1000000
ALTO,2010,628500
ALTO EAST,2010,571000
ALTO MEADOWS,2010,385000
ALTO NORTH,2010,515000
ANGLESEA,2010,580000
APOLLO BAY,2010,442500
ARARAT,2010,174000
ARDEER,2010,382500
ARMADALE,2010,1800000
ARMSTRONG CREEK,2010,
ASCOT (GREATER BENDIGO),2010,330000
ASCOT VALE,2010,750000
ASHBURTON,2010,985000
ASHWOOD,2010,760000
ASPENDALE,2010,637500
ASPENDALE GARDENS,2010,581000
ATTWOOD,2010,576000
AVENEL,2010,268500
AVOCA,2010,144000
AVONDALE HEIGHTS,2010,576000
AVONSLEIGH,2010,321500
BACCHUS MARSH,2010,305000
BADGER CREEK,2010,295000
BAIRNSDALE,2010,230000
BALACLAVA,2010,916000
BALCOMBE,2010,655000
BALLAN,2010,260000
BALLARAT CENTRAL,2010,280000
BALLARAT EAST,2010,225500
BALLARAT NORTH,2010,272000
BALRRING,2010,480000
BALRRING BEACH,2010,787500
BALWYN,2010,1450000
BALWYN NORTH,2010,1141000
BANNOCKBURN,2010,342500
BARANDUDA,2010,353000
BARWARTHA,2010,169000
BARWON HEADS,2010,615500
BAXTER,2010,317000
BAYSWATER,2010,453500
BAYSWATER NORTH,2010,450000
BEACONSFIELD,2010,460000
BEACONSFIELD UPPER,2010,472000
BEAUFORT,2010,174500
BEAUMARIS,2010,1107500
BEECHWORTH,2010,310500
BELGRAVE,2010,380000
BELGRAVE HEIGHTS,2010,425000
BELGRAVE SOUTH,2010,490000
BELL PARK,2010,290000
BELL POST HILL,2010,310000
BELLFIELD (BANYULE),2010,575000
BELMONT,2010,338000
BELLA,2010,220000
BENDIGO,2010,295000
BENTLEIGH,2010,910000
BENTLEIGH EAST,2010,760000
BERWICK,2010,450000
BEVERIDGE,2010,522500
BIRCHIP,2010,67500
BIRREGURRA,2010,230000
BITTERN,2010,352000
BLACK HILL,2010,263500
BLACK ROCK,2010,1390000
BLACKBURN,2010,850000
BLACKBURN NORTH,2010,659000
BLACKBURN SOUTH,2010,670000
BLACKWOOD,2010,260000
BLAIRGOWRIE,2010,625000
BLIND BIGHT,2010,337500
BONBEACH,2010,585000
BONNIE DOON,2010,210000
BONSHAW,2010,
BOOLARRA,2010,178000
BOORT,2010,157000
BORONIA,2010,450000
BOTANIC RIDGE,2010,520000
BOX HILL,2010,874000
BOX HILL NORTH,2010,726000
BOX HILL SOUTH,2010,823000
BRAYBROOK,2010,460000
BREAKWATER,2010,250000
BRIAGOLONG,2010,205000
BRIAR HILL,2010,580000
BRIGHT,2010,311500
BRIGHTON,2010,1810000
BRIGHTON EAST,2010,1255000
BROADFORD,2010,248500
BROADMEADOWS,2010,384000
BROOKFIELD,2010,333500
BROOKLYN,2010,486500
BROWN HILL,2010,261000
BRUNSWICK,2010,710000
BRUNSWICK EAST,2010,700000
BRUNSWICK WEST,2010,728000
BRUTHEN,2010,226000
BULLEEN,2010,728000
BUNDALONG,2010,390000
